[[2024-03-06 08:29:21]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:29:31]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:29:41]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:29:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:30:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:30:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:30:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:30:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:30:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -69 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:30:52]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:31:02]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:31:12]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:31:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:31:33]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
