[[2024-12-06 14:58:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:59:07]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:59:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:59:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:59:38]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:59:48]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:59:58]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:00:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:00:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:00:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:00:38]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:00:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:00:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:01:09]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:01:19]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:01:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:01:40]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:01:50]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:02:00]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:02:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:02:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:02:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:02:40]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:02:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:03:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:03:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:03:21]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 15:03:31]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
